iter	Passed	Remaining
201	1099	1350
202	1105	1345
203	1110	1339
204	1115	1333
205	1121	1328
206	1127	1323
207	1132	1317
208	1138	1312
209	1143	1306
210	1149	1301
211	1154	1296
212	1160	1290
213	1165	1285
214	1171	1280
215	1177	1275
216	1182	1269
217	1188	1264
218	1193	1258
219	1198	1253
220	1203	1247
221	1209	1242
222	1215	1237
223	1220	1231
224	1225	1225
225	1231	1220
226	1236	1214
227	1241	1208
228	1246	1202
229	1251	1196
230	1256	1191
231	1261	1185
232	1266	1179
233	1271	1173
234	1276	1167
235	1281	1162
236	1287	1156
237	1292	1151
238	1297	1145
239	1303	1140
240	1308	1134
241	1313	1129
242	1319	1123
243	1324	1117
244	1329	1112
245	1334	1106
246	1340	1101
247	1345	1095
248	1350	1089
249	1355	1084
250	1360	1078
251	1365	1072
252	1370	1067
253	1375	1061
254	1381	1056
255	1385	1050
256	1390	1044
257	1395	1038
258	1401	1033
259	1406	1027
260	1411	1022
261	1417	1017
262	1422	1011
263	1427	1005
264	1433	1000
265	1440	996
266	1446	991
267	1451	985
268	1457	980
269	1462	975
270	1468	969
271	1473	964
272	1478	958
273	1483	952
274	1489	947
275	1494	942
276	1500	936
277	1505	931
278	1510	925
279	1516	920
280	1521	915
281	1527	909
282	1533	904
283	1539	899
284	1545	894
285	1550	889
286	1556	884
287	1562	879
288	1568	874
289	1573	868
290	1578	862
291	1583	857
292	1588	851
293	1594	845
294	1599	840
295	1604	834
296	1610	829
297	1616	824
298	1622	819
299	1627	813
300	1633	808
301	1638	803
302	1644	797
303	1649	792
304	1655	786
305	1659	781
306	1664	775
307	1670	770
308	1677	765
309	1682	759
310	1688	754
311	1694	749
312	1699	744
313	1705	738
314	1711	733
315	1716	727
316	1721	722
317	1727	716
318	1732	711
319	1738	706
320	1743	700
321	1748	695
322	1753	689
323	1759	684
324	1764	678
325	1769	673
326	1774	667
327	1780	662
328	1785	656
329	1790	651
330	1797	646
331	1802	640
332	1807	634
333	1812	629
334	1817	624
335	1823	618
336	1828	613
337	1834	607
338	1839	602
339	1845	597
340	1850	591
341	1856	586
342	1862	580
343	1867	575
344	1873	570
345	1879	564
346	1884	559
347	1890	554
348	1896	548
349	1901	543
350	1906	537
351	1912	532
352	1917	527
353	1922	521
354	1928	515
355	1933	510
356	1938	504
357	1943	499
358	1949	494
359	1954	488
360	1959	483
361	1964	477
362	1969	472
363	1975	466
364	1980	461
365	1986	455
366	1992	450
367	1997	445
368	2003	439
369	2009	434
370	2016	429
371	2023	424
372	2028	418
373	2035	413
374	2041	408
375	2047	402
376	2053	397
377	2058	392
378	2064	386
379	2069	381
380	2075	375
381	2081	370
382	2087	365
383	2092	359
384	2098	354
385	2104	348
386	2110	343
387	2116	338
388	2121	332
389	2127	327
390	2132	321
391	2137	316
392	2143	310
393	2148	305
394	2154	299
395	2160	294
396	2166	289
397	2171	283
398	2177	278
399	2183	272
400	2189	267
401	2195	262
402	2201	256
403	2207	251
404	2212	245
405	2217	240
406	2223	234
407	2228	229
408	2234	223
409	2239	218
410	2245	213
411	2250	207
412	2256	202
413	2261	196
414	2267	191
415	2272	185
416	2277	180
417	2282	174
418	2287	169
419	2292	163
420	2297	158
421	2302	152
422	2307	147
423	2312	141
424	2317	136
425	2323	130
426	2328	125
427	2334	119
428	2339	114
429	2344	109
430	2350	103
431	2355	98
432	2360	92
433	2366	87
434	2371	81
435	2377	76
436	2382	70
437	2388	65
438	2393	59
439	2399	54
440	2404	49
441	2409	43
442	2415	38
